Account_Length_days,Voicemail_Messages,Call_mins_day,Call_mins_eve,Call_mins_night,CustomerService_Calls,International_Calls,Customer_Age,Customer_Gender,Churn
57,25,176.8,195,213.5,0,0,30,male  ,no 
56,0,222.7,277,101.8,0,0,70,female,no 
87,40,221.6,157.1,222.4,0,0,23,female,no 
70,0,232.1,292.3,201.2,3,0,22,male  ,no 
64,0,145.5,228.4,273.4,0,8,53,male  ,no 
103,0,129.3,202.8,233,2,0,44,male  ,no 
154,0,191.4,205.4,205.7,0,0,27,male  ,no 
85,0,127.9,271.2,202.2,0,0,36,female,no 
33,35,161.9,151.2,191,1,2,48,male  ,no 
131,0,187.9,200.5,202.6,0,0,28,male  ,no 
112,0,189.4,219,168,3,0,23,female,no 
17,0,161.5,214.2,315,0,5,60,female,no 
68,22,82.5,289.9,180,3,0,38,male  ,no 
152,0,141.5,263,207.1,2,4,35,female,no 
101,29,121.1,186.4,241.7,0,0,48,male  ,no 
106,0,158.7,64.3,198.5,1,4,35,male  ,no 
135,0,218.8,242.8,85.8,4,0,39,male  ,no 
125,0,169.3,156,210.8,2,6,43,female,no 
67,35,245.4,148.2,274,0,6,22,female,no 
109,46,217.5,233.7,163.9,4,3,57,male  ,no 
118,0,113,150.1,204.3,2,4,37,male  ,no 
109,0,170.7,240.2,119,2,4,21,female,no 
93,0,149.6,200.7,181.2,0,9,51,female,no 
157,0,229.8,147.9,241.4,3,7,19,female,no 
166,0,136.1,181.4,131.4,0,4,73,male  ,no 
81,46,168.3,270.9,222.5,0,2,37,male  ,no 
116,23,44,138.9,277.8,0,3,33,female,no 
99,0,222.4,185.8,237.7,0,8,62,male  ,no 
113,0,92.6,177.6,159.8,3,4,67,female,no 
101,9,160.1,210,139.1,0,9,30,male  ,no 
110,0,55.3,164.7,200.7,1,5,36,male  ,no 
134,0,164.9,126.5,238.5,2,9,35,male  ,no 
122,0,243.8,83.9,179.8,2,8,26,female,no 
55,0,245.5,192.7,141.7,1,0,21,male  ,no 
27,0,232.1,210.8,165.4,0,0,40,male  ,no 
43,0,241.9,129.4,264.8,1,3,18,male  ,no 
106,0,159.6,276.8,223.5,0,3,40,male  ,no 
68,29,239.5,203.8,167.8,0,6,46,male  ,no 
85,0,102,270.2,148.2,1,3,46,male  ,no 
174,0,239.2,188.5,105.6,1,3,34,female,no 
106,0,187.1,250.2,144.9,1,0,21,male  ,no 
136,27,187.7,221,145.7,3,0,30,female,no 
72,0,177.1,184.7,174.1,1,6,53,male  ,no 
138,37,75.8,173.6,162.6,0,13,69,female,no 
59,0,107.8,216.6,217.5,2,0,59,male  ,no 
99,0,198.2,207.3,190.9,0,0,19,female,no 
138,0,87.6,266.9,214.6,2,0,41,female,no 
87,0,167.3,198.5,133.1,1,6,33,female,no 
107,0,273.5,183.8,153.8,2,9,51,male  ,no 
6,0,226.5,152.1,164.4,3,0,23,female,no 
51,12,135.8,200.6,192.4,2,7,21,male  ,no 
155,0,190.3,301.3,214.6,1,0,33,female,no 
117,0,143.3,211.3,185.2,1,3,42,male  ,no 
189,30,155.2,195.5,170.1,1,6,44,male  ,no 
86,0,223.9,155.7,150.2,1,9,72,male  ,no 
96,0,200.6,289.5,98.3,0,0,42,male  ,no 
70,0,175.4,159.5,260.6,0,0,31,male  ,no 
70,0,148.4,267.1,151.5,0,0,29,male  ,no 
91,0,151.8,103.6,156.3,1,4,54,male  ,no 
138,0,171.4,115.2,224.5,3,4,52,female,no 
80,31,166.4,238.3,150.7,4,0,40,male  ,no 
17,35,198.5,270.6,209.9,0,10,21,male  ,no 
108,0,187.4,199.9,216.1,0,0,62,male  ,no 
63,0,62.9,202.9,259,1,8,36,male  ,no 
147,0,168.6,187.7,216.5,2,0,60,male  ,no 
124,0,150.3,255.9,136.7,2,0,45,male  ,no 
114,0,169.6,58.9,179.3,1,8,40,female,no 
65,0,136.1,272.9,220.2,1,2,20,female,no 
122,30,230.1,287.6,177.1,0,0,22,male  ,no 
66,29,229.4,257.4,231.5,2,0,31,female,no 
74,0,85.7,247.7,142.4,2,5,60,male  ,no 
124,0,188.5,182,218.2,0,0,26,female,no 
36,30,146.3,162.5,129.3,0,6,19,female,no 
106,0,169.4,197.2,202.2,1,0,39,male  ,no 
74,0,172.1,211.7,182.2,1,0,36,female,no 
87,0,204.8,161,285.7,0,3,20,female,no 
38,31,197.2,249.9,298.9,0,2,51,male  ,no 
67,0,201.4,97.6,202.5,0,3,47,male  ,no 
100,0,218.8,148.3,277.8,0,6,48,female,no 
83,0,159.3,202.3,229,0,0,30,male  ,no 
106,32,165.9,216.5,173.1,4,0,28,female,no 
118,35,256.3,258.1,215.5,1,0,56,male  ,no 
110,0,159.5,202.3,256,2,2,45,female,no 
97,24,133.2,217.2,70.6,1,3,40,male  ,no 
197,0,233.9,218.9,182.9,0,3,24,female,no 
71,39,183.2,209.4,172.4,1,0,43,female,no 
89,0,197.1,165.9,227.3,0,0,39,male  ,no 
138,0,146.5,284.5,176,0,0,33,female,no 
150,29,209.9,158,141.9,0,1,31,male  ,no 
73,0,94.9,253.2,175.1,2,2,40,male  ,no 
123,22,197.6,80,120.8,2,12,33,female,no 
88,0,142.2,262.4,139.2,1,0,49,male  ,no 
130,0,127,206.9,231.7,0,0,28,female,no 
